State,Year,Installed - Bio-Mass Power,Installed - Small Hydro Power,Installed - Solar Power,Installed - Wind Power,Installed - Waste to Energy
Andhra Pradesh,2006,176.58,104.83,0.06,71.74,0
Andhra Pradesh,2007,195.92,105.99,0.06,71.80,0
Andhra Pradesh,2008,201.37,105.99,0.06,71.80,0
Andhra Pradesh,2009,212.92,109.51,0.06,71.80,0
Andhra Pradesh,2010,212.92,112.21,1.23,112.25,0
Andhra Pradesh,2011,212.92,127.68,12.75,143.93,0
Andhra Pradesh,2012,223.18,128.38,13.69,262.39,0
Andhra Pradesh,2013,380.75,221.03,131.84,746.20,0
Andhra Pradesh,2014,389.75,223.23,242.86,1032.00,0
Andhra Pradesh,2015,380.75,232.98,572.96,1431.45,0
Andhra Pradesh,2016,378.20,241.98,1867.23,3618.85,0
Andhra Pradesh,2017,477.18,162.11,2195.46,3966.95,0
Andhra Pradesh,2018,477.18,162.11,3085.68,4090.45,23.16
Andhra Pradesh,2019,477.18,162.11,3610.02,4092.45,23.16
Andhra Pradesh,2020,483.67,162.11,4291.34,4096.65,52.37
Andhra Pradesh,2021,483.67,162.11,4386.76,4096.65,82.37
Andhra Pradesh,2022,566.04,162.11,4386.76,4096.65,53.16
Andhra Pradesh,2023,566.03,163.31,9360.18,4096.65,53.16
Andhra Pradesh,2024,574.39,163.31,9419.33,4096.65,53.16
Gujarat,2006,0,7.00,0,636.60,0
Gujarat,2007,0.5,7.00,0,1252.90,0
Gujarat,2008,0.5,7.00,0,1566.50,0
Gujarat,2009,0.5,12.60,0,1863.63,0
Gujarat,2010,0.5,15.60,5.00,2176.43,0
Gujarat,2011,20.5,15.60,604.89,2966.28,0
Gujarat,2012,30.5,15.60,857.90,3174.58,0
Gujarat,2013,43.9,15.60,916.40,3454.30,0
Gujarat,2014,55.9,16.60,1000.05,3645.00,0
Gujarat,2015,56.3,16.60,1119.17,4037.50,0
Gujarat,2016,65.3,16.60,1249.37,5340.62,0
Gujarat,2017,65.3,28.60,1588.00,5613.42,0
Gujarat,2018,77.3,61.30,2440.13,6073.07,0
Gujarat,2019,77.3,68.95,2948.37,7541.52,0
Gujarat,2020,77.3,82.69,4469.87,8561.82,22.57
Gujarat,2021,77.3,89.39,7180.03,9209.22,31.96
Gujarat,2022,109.26,89.39,7180.03,9209.22,7.5
Gujarat,2023,110.73,91.64,19435.85,9978.92,7.5
Gujarat,2024,112.48,91.64,25471.72,11722.72,7.5
Karnataka,2006,254.28,416.50,0,821.10,0
Karnataka,2007,262.28,464.00,0,1011.40,0
Karnataka,2008,294.18,464.00,0,1327.40,0
Karnataka,2009,336.18,640.45,6.00,1472.80,0
Karnataka,2010,365.18,783.35,6.00,1726.85,0
Karnataka,2011,441.18,882.45,9.00,1933.50,0
Karnataka,2012,491.38,963.76,14.00,2135.15,0
Karnataka,2013,603.28,1031.66,31.00,2318.20,0
Karnataka,2014,664.28,1129.73,77.22,2638.00,0
Karnataka,2015,872.18,1217.73,145.46,2869.15,0
Karnataka,2016,1452.00,1225.73,1027.84,3751.40,0
